JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,6391,704,678,1605,1743,67,1131,463
ARAD,4675,336,328,965,1804,98,649,495
ARGES,9382,597,1675,2733,2071,141,1580,585
BACAU,11121,1560,3201,734,1546,1806,1849,425
BIHOR,5524,272,978,1281,1514,104,771,604
BISTRITA,4131,144,231,1215,1410,104,761,266
BOTOSANI,3917,194,1067,898,883,82,625,168
BRAILA,4906,832,1198,1572,557,63,515,169
BRASOV,6704,1039,1120,1470,1525,105,827,618
BUZAU,11824,2264,2143,3644,1799,87,1711,176
CALARASI,3730,469,805,1091,786,36,427,116
CARAS,3602,539,353,403,971,303,802,231
CLUJ,6308,587,617,1367,1678,189,1094,776
CONSTANTA,7870,697,659,1755,2915,112,1011,721
COVASNA,4373,592,1227,935,872,65,549,133
DAMBOVITA,6257,581,728,1918,1528,129,998,375
DOLJ,17456,747,5851,4364,3885,377,1903,329
GALATI,11677,1105,2010,4252,2029,137,1659,485
GIURGIU,2097,265,309,683,584,20,160,76
GORJ,5159,260,245,821,1666,328,1460,379
HARGHITA,6108,1237,1140,1165,1297,78,878,313
HUNEDOARA,5963,343,295,1340,2093,129,1124,639
IALOMITA,4073,246,1009,1205,856,64,615,78
IASI,9026,544,1679,2778,1076,99,2288,562
ILFOV,1423,100,162,239,570,18,194,140
MARAMURES,5042,68,757,781,1923,141,880,492
MEHEDINTI,6227,0,1211,2727,1232,99,820,138
MUN. BUC.,15317,24,136,2513,5226,302,2797,4319
MURES,5999,665,1626,1079,1213,122,899,395
NEAMT,7869,859,980,2114,1606,108,1884,318
OLT,9332,1917,700,2764,2251,185,1434,81
PRAHOVA,8935,526,1088,2107,2436,275,1773,730
SALAJ,5253,361,1140,1321,1429,84,655,263
SATU M.,5280,627,1993,1475,583,31,412,159
SIBIU,5207,392,1150,1149,1104,104,871,437
SUCEAVA,12034,486,2044,2871,3539,218,2298,578
TELEORMAN,8381,357,846,4130,1340,119,1520,69
TIMIS,4055,206,113,494,1419,126,1036,661
TULCEA,2597,0,426,1026,673,0,374,98
VALCEA,5909,122,465,1016,2026,290,1599,391
VASLUI,9011,303,1470,3009,1171,92,2837,129
VRANCEA,5586,289,1317,1897,1222,78,605,178
Total general,285731,23456,47170,72906,68051,7115,48275,18758
