JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5590,430,479,1442,1707,62,1071,399
ARAD,4798,349,337,1018,1813,101,718,462
ARGES,10508,649,1859,3012,2411,167,1812,598
BACAU,10881,1778,1172,3098,3212,128,1194,299
BIHOR,5349,200,663,1139,1778,100,830,639
BISTRITA,3998,125,172,1177,1425,78,748,273
BOTOSANI,3991,196,1020,857,1027,52,648,191
BRAILA,4901,793,1122,1599,583,57,561,186
BRASOV,6581,974,1116,1378,1607,96,813,597
BUZAU,12280,2274,2315,3793,1845,73,1792,188
CALARASI,3765,358,789,1167,801,39,456,155
CARAS,3915,551,379,790,1296,91,562,246
CLUJ,6652,587,617,1468,1772,180,1326,702
CONSTANTA,7017,844,680,1286,2704,96,748,659
COVASNA,4174,529,1123,871,930,53,550,118
DAMBOVITA,5967,557,460,1912,1549,91,1022,376
DOLJ,17467,731,5607,4523,3973,368,1916,349
GALATI,11944,1157,2063,4312,2045,134,1764,469
GIURGIU,2186,248,294,664,714,18,166,82
GORJ,5271,273,226,1299,1942,214,923,394
HARGHITA,6034,1186,1040,1086,1435,83,892,312
HUNEDOARA,6265,205,397,1493,2260,119,1194,597
IALOMITA,4352,280,1024,1337,945,52,628,86
IASI,9311,556,1612,2864,1165,90,2417,607
ILFOV,851,91,143,126,342,7,81,61
MARAMURES,5425,63,1153,727,2099,106,839,438
MEHEDINTI,6499,0,1258,2829,1339,88,847,138
MUN. BUC.,15354,25,141,2524,5254,302,2795,4313
MURES,6025,663,1504,1205,1289,89,884,391
NEAMT,8160,877,1050,2295,1603,122,1888,325
OLT,9554,1990,706,2809,2330,147,1503,69
PRAHOVA,9089,563,1076,2157,2521,147,1861,764
SALAJ,5042,347,1114,1180,1455,69,633,244
SATU M.,5028,643,1797,1418,588,25,392,165
SIBIU,5441,384,1025,1163,1273,100,1011,485
SUCEAVA,11720,469,1845,2736,3515,203,2374,578
TELEORMAN,8722,393,958,4443,1441,102,1317,68
TIMIS,4105,198,114,862,1510,117,690,614
TULCEA,2533,0,435,1030,628,0,355,85
VALCEA,6112,118,491,1462,2290,173,1138,440
VASLUI,8281,261,1320,2910,1133,70,2483,104
VRANCEA,5524,329,1288,1870,1194,70,600,173
Total general,286662,23244,43984,77331,72743,4479,46442,18439
