JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,6881,699,1127,1779,1574,107,1172,423
ARAD,4144,863,90,1007,1094,66,576,448
ARGES,9986,636,1895,2948,2024,139,1805,539
BACAU,12186,1433,3433,984,1716,2131,1970,519
BIHOR,5880,317,1002,1529,1450,95,864,623
BISTRITA,4566,449,280,1228,1386,88,877,258
BOTOSANI,4154,225,1169,1037,766,73,705,179
BRAILA,5391,818,1294,1780,597,69,641,192
BRASOV,6493,1078,1323,1572,1062,94,797,567
BUZAU,12033,1700,2519,4038,1562,122,1921,171
CALARASI,3428,362,858,1046,599,31,447,85
CARAS,3779,436,514,870,1080,125,510,244
CLUJ,6158,675,808,1356,1375,182,1041,721
CONSTANTA,8485,926,1198,2022,2288,102,1287,662
COVASNA,4220,506,1473,917,738,43,417,126
DAMBOVITA,5700,364,1238,1734,1182,101,793,288
DOLJ,19037,870,6336,5037,4039,320,2069,366
GALATI,11733,1188,2751,4383,1388,108,1486,429
GIURGIU,2150,220,429,763,458,24,189,67
GORJ,5166,0,584,1426,1603,130,1084,339
HARGHITA,6030,777,1951,1100,1071,100,815,216
HUNEDOARA,5875,230,626,1394,1893,156,1015,561
IALOMITA,4857,332,960,1678,880,73,841,93
IASI,9810,607,1854,3082,1061,96,2562,548
ILFOV,1382,67,364,227,359,20,172,173
MARAMURES,4048,83,421,810,1399,147,800,388
MEHEDINTI,6266,0,1274,2757,1212,99,782,142
MUN. BUC.,15006,22,144,2471,5131,311,2758,4169
MURES,6442,768,2037,1393,960,95,828,361
NEAMT,9097,786,1260,2870,1984,125,1733,339
OLT,9552,801,1296,3330,2231,186,1574,134
PRAHOVA,8517,542,1113,2136,2065,223,1770,668
SALAJ,5267,392,1523,1384,938,95,689,246
SATU M.,5398,649,2104,1508,537,32,423,145
SIBIU,5230,461,1315,1220,908,91,812,423
SUCEAVA,11096,921,1631,3128,2447,197,2260,512
TELEORMAN,9319,574,1141,4602,1512,105,1271,114
TIMIS,4402,696,238,805,1273,99,678,613
TULCEA,2779,0,663,869,723,0,441,83
VALCEA,6053,203,547,1711,1817,142,1228,405
VASLUI,9672,382,2230,3631,1730,78,1501,120
VRANCEA,5793,350,1561,1995,992,72,656,167
Total general,293461,23408,56574,81557,61104,6692,46260,17866
