JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,6350,822,723,1558,1620,67,1130,430
ARAD,4572,343,319,962,1701,89,644,514
ARGES,9840,658,1928,2955,1973,141,1634,551
BACAU,11505,1563,3209,801,1612,1882,1965,473
BIHOR,5965,318,1114,1474,1496,97,855,611
BISTRITA,4375,164,252,1372,1424,86,805,272
BOTOSANI,4007,218,1138,949,820,63,655,164
BRAILA,5263,883,1276,1683,586,68,589,178
BRASOV,6714,1089,1252,1540,1282,107,833,611
BUZAU,13468,2541,2462,4158,1949,146,2012,200
CALARASI,3890,363,852,1140,790,32,613,100
CARAS,3607,554,368,753,1109,116,486,221
CLUJ,6108,492,743,1362,1450,177,1122,762
CONSTANTA,8732,827,1006,2047,2686,121,1337,708
COVASNA,4348,613,1347,973,769,53,471,122
DAMBOVITA,6182,562,653,1940,1512,118,1027,370
DOLJ,18872,814,6324,4905,4237,340,1923,329
GALATI,12190,1201,2452,4482,1897,124,1537,497
GIURGIU,2098,268,319,726,505,21,182,77
GORJ,5212,281,255,1302,1780,187,1041,366
HARGHITA,6162,1270,748,1337,1390,75,1051,291
HUNEDOARA,5736,343,245,1340,1862,129,1228,589
IALOMITA,4581,264,1114,1438,909,61,715,80
IASI,9356,583,1772,2944,1061,86,2380,530
ILFOV,1441,105,142,239,563,18,195,179
MARAMURES,4697,62,695,764,1738,151,856,431
MEHEDINTI,6503,0,1245,2810,1326,109,860,153
MUN. BUC.,15251,24,140,2520,5183,308,2788,4288
MURES,6423,710,1999,1269,1144,92,860,349
NEAMT,9034,536,1589,2589,2284,99,1605,332
OLT,9441,1973,725,2864,2231,180,1383,85
PRAHOVA,8571,535,1043,2100,2275,236,1709,673
SALAJ,5419,370,1485,1423,1109,83,689,260
SATU M.,5458,646,2104,1540,558,31,425,154
SIBIU,5496,467,1383,1239,1020,93,851,443
SUCEAVA,11804,951,1585,2942,3238,201,2340,547
TELEORMAN,9151,447,1068,4804,1360,114,1290,68
TIMIS,4446,342,210,877,1429,120,774,694
TULCEA,2520,0,425,1039,634,0,349,73
VALCEA,5795,126,538,1574,1909,143,1118,387
VASLUI,9770,329,1658,3582,1905,89,2079,128
VRANCEA,5698,329,1449,1943,1110,78,623,166
Total general,296051,24986,51354,80259,67436,6531,47029,18456
