JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5218,653,761,1471,1128,59,848,298
ARAD,2610,248,537,532,769,40,288,196
ARGES,7749,667,1802,2398,1324,101,1118,339
BACAU,11023,1858,1211,3454,2549,143,1538,270
BIHOR,3690,207,657,832,993,78,504,419
BISTRITA,3329,191,295,1014,991,68,581,189
BOTOSANI,3571,195,997,948,665,58,583,125
BRAILA,4334,705,1098,1505,372,57,456,141
BRASOV,5233,1041,1260,1293,708,45,581,305
BUZAU,11296,2195,2334,3647,1357,68,1584,111
CALARASI,3242,360,833,1012,590,36,360,51
CARAS,3345,557,421,672,999,64,421,211
CLUJ,4483,776,428,973,992,107,753,454
CONSTANTA,7471,943,683,2028,2044,112,1195,466
COVASNA,2852,453,994,609,455,27,251,63
DAMBOVITA,6624,951,1160,1818,1331,117,1011,236
DOLJ,17945,836,5903,4956,3890,123,1889,348
GALATI,10578,1054,2003,4195,1400,106,1468,352
GIURGIU,1645,229,277,582,363,17,129,48
GORJ,4735,287,286,1384,1418,129,920,311
HARGHITA,5146,1269,1228,963,865,80,550,191
HUNEDOARA,5157,380,410,1306,1436,118,981,526
IALOMITA,4231,299,1018,1420,696,53,685,60
IASI,8035,546,1502,2598,887,74,2107,321
ILFOV,776,101,207,138,188,7,63,72
MARAMURES,5185,125,1818,760,1270,142,726,344
MEHEDINTI,6929,0,1478,3278,1155,63,836,119
MUN. BUC.,15248,25,135,2645,5214,290,2701,4238
MURES,6372,1122,2266,1441,646,62,634,201
NEAMT,7346,903,1142,2207,1033,104,1720,237
OLT,8855,1854,742,2770,1899,80,1441,69
PRAHOVA,7118,619,1283,1882,1453,105,1354,422
SALAJ,4339,293,1153,1098,1040,75,488,192
SATU M.,3631,411,1723,900,265,16,225,91
SIBIU,3456,366,1001,835,560,45,426,223
SUCEAVA,11031,922,1840,2945,2611,237,2103,373
TELEORMAN,8825,376,1052,4686,1470,48,1148,45
TIMIS,2775,305,125,459,810,54,593,429
TULCEA,2906,0,463,1452,535,0,409,47
VALCEA,4560,137,496,1312,1301,124,866,324
VASLUI,10024,398,1880,3689,979,55,2965,58
VRANCEA,4947,375,1273,1711,855,65,547,121
Total general,257865,25232,48175,75818,51506,3452,40046,13636
