JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,6429,796,735,1585,1693,68,1105,447
ARAD,4582,340,479,786,1764,89,631,493
ARGES,9719,633,1890,2902,2020,137,1569,568
BACAU,11165,1560,3190,734,1568,1831,1841,441
BIHOR,5833,302,1069,1392,1540,107,808,615
BISTRITA,4098,133,218,1223,1384,94,770,276
BOTOSANI,3898,207,1080,901,865,69,605,171
BRAILA,5061,880,1237,1602,569,64,538,171
BRASOV,7050,1097,1242,1574,1512,112,878,635
BUZAU,12378,2357,2180,3771,1856,127,1897,190
CALARASI,3809,364,951,1107,775,34,469,109
CARAS,3758,585,437,469,1165,115,745,242
CLUJ,6003,492,616,1378,1587,169,1031,730
CONSTANTA,8629,785,730,1851,3115,124,1275,749
COVASNA,4492,610,1282,994,865,64,539,138
DAMBOVITA,6236,575,700,1929,1518,126,1018,370
DOLJ,18343,787,6116,4729,3933,365,2081,332
GALATI,12092,1148,2135,4387,2019,144,1743,516
GIURGIU,2169,271,315,701,612,23,168,79
GORJ,5325,279,455,1009,1804,208,1179,391
HARGHITA,6504,1291,1172,1264,1401,78,980,318
HUNEDOARA,5925,343,295,1340,2055,129,1124,639
IALOMITA,4237,245,1009,1283,868,62,683,87
IASI,9132,558,1705,2836,1089,90,2309,545
ILFOV,1450,105,163,239,568,18,195,162
MARAMURES,4999,61,758,757,1940,148,870,465
MEHEDINTI,6238,0,1220,2746,1229,98,809,136
MUN. BUC.,15287,23,140,2512,5209,306,2775,4322
MURES,6102,699,1718,1134,1175,91,901,384
NEAMT,7722,703,1001,2073,1624,100,1867,354
OLT,9391,1928,2506,303,2201,187,2176,90
PRAHOVA,8670,533,1024,2071,2368,252,1717,705
SALAJ,5299,345,1170,1390,1402,87,653,252
SATU M.,5369,637,1560,1292,583,34,1102,161
SIBIU,5183,395,1364,966,1047,95,867,449
SUCEAVA,12130,492,1590,3360,3555,218,2357,558
TELEORMAN,8943,408,1029,4704,1244,107,1392,59
TIMIS,4129,251,120,859,1388,98,742,671
TULCEA,2632,0,435,1102,620,0,389,86
VALCEA,5818,122,641,1087,2024,161,1376,407
VASLUI,8830,286,1443,3037,1134,89,2714,127
VRANCEA,5617,302,1370,1907,1169,83,619,167
Total general,290676,23928,50490,73286,68057,6601,49507,18807
