JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5356,655,796,1577,1082,60,892,294
ARAD,2367,235,529,555,520,39,294,195
ARGES,8094,674,1858,2560,1274,125,1214,389
BACAU,11107,2177,771,1139,2663,107,3987,263
BIHOR,3972,239,693,888,1027,92,583,450
BISTRITA,3482,202,290,1099,986,71,640,194
BOTOSANI,3578,150,1080,936,610,54,620,128
BRAILA,4412,718,1107,1515,375,66,484,147
BRASOV,5148,1024,1243,1286,666,49,569,311
BUZAU,11171,2230,2376,3717,1097,67,1570,114
CALARASI,3200,359,838,1075,461,26,385,56
CARAS,3351,586,432,687,945,74,437,190
CLUJ,4465,776,426,973,952,107,777,454
CONSTANTA,7213,1048,554,1899,2005,83,1180,444
COVASNA,2701,451,1007,609,288,29,256,61
DAMBOVITA,6432,953,1161,1801,1246,107,920,244
DOLJ,18067,846,5997,5009,3775,121,1948,371
GALATI,10414,1067,1999,4209,1197,98,1476,368
GIURGIU,1624,236,286,617,270,18,146,51
GORJ,4557,291,298,1394,1230,127,918,299
HARGHITA,5115,1270,1234,1006,718,84,610,193
HUNEDOARA,5426,407,374,1253,1600,113,1151,528
IALOMITA,4225,298,1032,1439,653,44,702,57
IASI,8011,536,1541,2678,642,82,2204,328
ILFOV,776,110,224,148,146,8,63,77
MARAMURES,5062,138,1709,830,1190,143,704,348
MEHEDINTI,6960,0,1476,3274,1177,60,860,113
MUN. BUC.,15191,25,141,2641,5162,287,2687,4248
MURES,6502,1076,2333,1596,572,56,673,196
NEAMT,7610,932,1163,2319,1034,92,1805,265
OLT,8731,1855,725,2790,1786,77,1433,65
PRAHOVA,7041,634,1290,1907,1292,109,1363,446
SALAJ,4325,313,1186,1146,950,65,494,171
SATU M.,3706,559,1374,1051,342,23,277,80
SIBIU,3501,380,1046,853,542,40,416,224
SUCEAVA,10937,579,2397,3140,2083,227,2141,370
TELEORMAN,9232,431,1139,5090,1283,45,1201,43
TIMIS,2977,206,106,583,878,65,613,526
TULCEA,2842,0,468,1380,537,0,415,42
VALCEA,4720,132,513,984,1296,131,1333,331
VASLUI,10318,405,1934,4035,1132,70,2687,55
VRANCEA,4998,326,1310,1026,754,74,1390,118
Total general,258917,25529,48456,74714,48438,3415,44518,13847
