JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5432,484,582,1546,1388,53,1030,349
ARAD,3327,283,283,827,938,96,549,351
ARGES,9412,588,1777,2825,1952,140,1585,545
BACAU,10454,2149,749,3500,1082,77,1009,1888
BIHOR,4239,155,440,979,1322,99,745,499
BISTRITA,3307,137,195,1037,791,56,624,467
BOTOSANI,3421,189,1042,808,651,41,542,148
BRAILA,4508,760,1075,1534,426,54,490,169
BRASOV,5812,932,1141,1336,1088,80,699,536
BUZAU,11506,2293,2345,3756,1249,59,1609,195
CALARASI,3183,344,786,1032,454,33,375,159
CARAS,3319,480,309,697,813,82,510,428
CLUJ,5514,552,535,1313,1310,152,957,695
CONSTANTA,6497,818,519,1240,2010,90,1010,810
COVASNA,3263,517,1082,713,469,48,370,64
DAMBOVITA,6179,614,835,2006,1244,94,1035,351
DOLJ,18996,860,6142,4982,3841,150,2450,571
GALATI,10768,1072,1999,4246,1338,105,1580,428
GIURGIU,1944,239,280,666,508,16,162,73
GORJ,4270,224,213,1187,1240,164,790,452
HARGHITA,5244,1247,1171,1025,911,67,617,206
HUNEDOARA,6380,305,388,1594,2053,98,1429,513
IALOMITA,4060,272,1001,1474,597,44,605,67
IASI,8446,572,1569,2778,786,64,2236,441
ILFOV,677,85,158,118,176,7,73,60
MARAMURES,4536,69,1260,750,1267,115,730,345
MEHEDINTI,6328,0,1254,2815,1230,88,828,113
MUN. BUC.,15241,25,143,2562,5253,302,2756,4200
MURES,5520,757,1587,1274,809,70,751,272
NEAMT,6286,656,707,1755,1037,95,1631,405
OLT,8673,1891,693,2747,1369,126,1391,456
PRAHOVA,7888,530,1058,2060,1854,130,1598,658
SALAJ,4556,312,1134,1207,1063,58,568,214
SATU M.,4659,635,1647,1339,490,22,365,161
SIBIU,4309,364,945,986,750,81,694,489
SUCEAVA,10735,506,1714,3274,2273,137,2086,745
TELEORMAN,8565,394,980,4422,1091,98,1370,210
TIMIS,3220,197,204,621,1016,96,598,488
TULCEA,2718,0,447,1155,578,0,411,127
VALCEA,5301,126,518,1416,1573,153,1074,441
VASLUI,6972,228,1177,2596,619,51,2030,271
VRANCEA,5002,284,1196,1819,636,73,579,415
Total general,260667,23145,43280,76017,51545,3664,42541,20475
