JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,6736,795,896,1733,1574,113,1194,431
ARAD,4077,326,554,937,1125,75,588,472
ARGES,9843,654,1866,2944,1961,139,1752,527
BACAU,12021,1433,3457,1025,1658,1939,2011,498
BIHOR,5822,288,995,1461,1458,100,881,639
BISTRITA,4368,174,240,1363,1404,92,815,280
BOTOSANI,4108,218,1150,1029,757,67,710,177
BRAILA,5389,868,1307,1754,601,64,608,187
BRASOV,6608,1375,1202,1488,1092,94,788,569
BUZAU,13102,2505,2434,4153,1692,136,1995,187
CALARASI,3610,362,973,996,577,35,508,159
CARAS,3547,581,348,755,1009,139,477,238
CLUJ,6407,812,597,1403,1405,209,1153,828
CONSTANTA,8330,833,1213,1941,2328,118,1243,654
COVASNA,4303,514,1474,905,792,45,440,133
DAMBOVITA,5775,536,502,1847,1445,114,986,345
DOLJ,18848,3362,3842,4915,4021,345,1971,392
GALATI,11856,1228,2455,4530,1458,121,1564,500
GIURGIU,2062,239,288,767,498,21,174,75
GORJ,5121,0,616,1338,1645,152,1016,354
HARGHITA,6303,1467,783,1207,1330,107,1106,303
HUNEDOARA,5426,407,374,1253,1600,113,1151,528
IALOMITA,4732,273,1109,1521,864,73,803,89
IASI,9708,595,1818,3014,1141,92,2499,549
ILFOV,1466,105,151,249,565,18,195,183
MARAMURES,3991,61,638,721,1274,130,762,405
MEHEDINTI,6281,0,1214,2739,1239,103,838,148
MUN. BUC.,15074,22,140,2465,5196,299,2765,4187
MURES,6241,702,1845,1285,1002,102,893,412
NEAMT,9252,916,1270,2736,2118,102,1757,353
OLT,9546,1903,749,2958,2182,204,1424,126
PRAHOVA,8445,528,1043,2089,2137,234,1742,672
SALAJ,5326,374,1462,1360,1032,95,720,283
SATU M.,5516,632,2151,1560,554,34,439,146
SIBIU,5301,460,1327,1200,938,89,858,429
SUCEAVA,10635,894,1509,2761,2480,212,2250,529
TELEORMAN,9267,428,1089,4770,1415,117,1345,103
TIMIS,4497,492,284,869,1351,104,729,668
TULCEA,2634,0,416,1061,652,0,411,94
VALCEA,5656,130,550,1494,1684,138,1217,443
VASLUI,9367,323,1596,3312,1734,86,2185,131
VRANCEA,5619,337,1460,1978,987,71,622,164
Total general,292216,28152,49387,79886,61975,6641,47585,18590
