JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5482,645,791,1630,1073,66,964,313
ARAD,2201,197,535,537,455,39,246,192
ARGES,8136,676,1887,2634,1248,117,1208,366
BACAU,11332,1802,534,1945,2762,102,3912,275
BIHOR,3839,250,757,836,971,83,541,401
BISTRITA,3517,204,290,1104,1003,68,660,188
BOTOSANI,3371,150,1071,844,585,61,558,102
BRAILA,4355,726,1102,1503,355,63,472,134
BRASOV,5029,998,1242,1271,659,47,508,304
BUZAU,11099,2228,2367,3688,1098,62,1546,110
CALARASI,3136,355,826,1030,485,30,356,54
CARAS,3324,602,451,689,893,69,423,197
CLUJ,4357,730,490,1040,878,120,709,390
CONSTANTA,7048,897,529,1786,1963,82,1320,471
COVASNA,2656,442,1007,610,273,28,239,57
DAMBOVITA,6364,633,909,1938,1390,134,999,361
DOLJ,17999,849,6013,5010,3691,125,1955,356
GALATI,10323,1083,1997,4238,1089,104,1470,342
GIURGIU,1599,244,289,609,265,18,132,42
GORJ,4392,273,287,1398,1171,119,863,281
HARGHITA,4977,1282,1229,981,658,80,564,183
HUNEDOARA,5546,411,520,1488,1590,95,976,466
IALOMITA,4243,300,1036,1469,637,33,710,58
IASI,8106,564,1567,2735,629,61,2229,321
ILFOV,777,106,218,158,144,7,67,77
MARAMURES,4713,133,1515,830,1112,126,689,308
MEHEDINTI,7005,0,1474,3286,1204,54,876,111
MUN. BUC.,15050,25,146,2628,5098,292,2660,4201
MURES,6400,1058,2428,1484,542,55,653,180
NEAMT,7604,938,1158,2327,1017,91,1832,241
OLT,8503,1824,724,2793,1641,65,1396,60
PRAHOVA,6854,616,1265,1851,1309,99,1280,434
SALAJ,4381,321,1180,1203,912,62,533,170
SATU M.,3733,572,1404,1065,319,24,272,77
SIBIU,3529,391,1078,855,530,40,419,216
SUCEAVA,10871,621,1928,3444,2046,151,2287,394
TELEORMAN,9696,450,1158,5290,1267,47,1438,46
TIMIS,2681,329,104,480,759,47,558,404
TULCEA,2856,0,477,1336,583,0,419,41
VALCEA,4553,132,512,1398,1176,127,892,316
VASLUI,10208,405,1941,3953,889,62,2907,51
VRANCEA,4898,327,1290,1820,705,69,581,106
Total general,256743,24789,47726,77214,47074,3224,43319,13397
