JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4671,649,693,1496,799,37,776,221
ARAD,2882,389,578,530,991,21,218,155
ARGES,7414,713,1872,2398,1044,75,1025,287
BACAU,10802,1776,946,3262,2920,98,1412,388
BIHOR,3348,411,679,674,734,55,437,358
BISTRITA,3273,270,316,1119,856,47,472,193
BOTOSANI,3604,159,1041,1058,634,50,556,106
BRAILA,4503,717,1099,1650,406,40,439,152
BRASOV,5777,1279,1251,1292,1123,51,527,254
BUZAU,11430,2237,2429,3820,1254,55,1525,110
CALARASI,3270,380,871,1121,493,23,336,46
CARAS,3130,563,373,701,869,52,396,176
CLUJ,4509,970,520,1074,734,97,703,411
CONSTANTA,5656,957,359,1678,1773,52,488,349
COVASNA,2611,474,1024,560,319,28,154,52
DAMBOVITA,6613,662,1184,1995,1704,43,810,215
DOLJ,18278,868,6123,5127,3805,100,1917,338
GALATI,10823,1442,2142,4470,1015,101,1370,283
GIURGIU,1783,249,267,591,476,7,122,71
GORJ,4693,323,313,1411,1385,86,894,281
HARGHITA,4910,1241,1285,935,754,46,489,160
HUNEDOARA,5614,514,508,1568,1245,118,1132,529
IALOMITA,4570,422,1125,1549,677,35,712,50
IASI,8545,696,1708,2907,939,47,1949,299
ILFOV,913,125,315,152,173,5,68,75
MARAMURES,6394,144,3130,942,1172,87,633,286
MEHEDINTI,7013,0,1564,3479,1021,27,836,86
MUN. BUC.,15525,26,136,2628,5282,290,2794,4369
MURES,6043,1222,2171,1413,488,62,539,148
NEAMT,7274,1000,1171,2242,966,61,1661,173
OLT,8691,1842,822,2968,1634,63,1331,31
PRAHOVA,6444,662,1374,1501,1385,102,1057,363
SALAJ,4119,584,1245,1027,649,38,440,136
SATU M.,3364,396,1652,880,182,9,174,71
SIBIU,3283,482,862,826,593,34,264,222
SUCEAVA,10657,1019,2102,3042,2413,147,1602,332
TELEORMAN,9570,433,1204,5363,1298,28,1199,45
TIMIS,2920,395,292,609,662,37,537,388
TULCEA,2430,0,456,1202,475,0,267,30
VALCEA,4838,256,458,1303,1517,98,880,326
VASLUI,10151,425,2026,3802,848,49,2942,59
VRANCEA,5245,419,1403,1735,1012,40,511,125
Total general,257583,27791,51089,78100,48719,2541,36594,12749
