JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5190,596,671,1544,1099,53,918,309
ARAD,2234,331,291,598,440,41,309,224
ARGES,8096,659,1844,2618,1269,109,1208,389
BACAU,10983,1745,557,3771,2752,106,1766,286
BIHOR,4155,272,788,923,1035,84,602,451
BISTRITA,3216,177,259,984,918,64,635,179
BOTOSANI,3132,170,1070,774,507,51,485,75
BRAILA,4301,724,1068,1495,365,58,452,139
BRASOV,5113,981,1228,1297,667,51,532,357
BUZAU,10990,2217,2350,3662,1087,66,1491,117
CALARASI,3012,350,809,1002,400,30,361,60
CARAS,3236,573,425,680,863,60,431,204
CLUJ,4479,677,481,1066,944,113,764,434
CONSTANTA,6763,868,538,1806,1911,92,1089,459
COVASNA,2680,435,1006,615,292,31,249,52
DAMBOVITA,6207,631,924,1954,1308,116,938,336
DOLJ,17131,827,5795,4802,3399,120,1790,398
GALATI,10247,1072,2001,4171,1099,107,1446,351
GIURGIU,1640,232,285,618,305,18,129,53
GORJ,4314,269,278,1298,1184,129,839,317
HARGHITA,4843,1268,1195,963,647,71,528,171
HUNEDOARA,5822,449,463,1594,1700,88,1032,496
IALOMITA,3996,284,1002,1389,595,28,623,75
IASI,7613,548,1533,2648,529,51,2010,294
ILFOV,738,93,222,142,136,8,60,77
MARAMURES,4530,129,1351,847,1087,117,709,290
MEHEDINTI,6923,0,1474,3285,1151,42,875,96
MUN. BUC.,14996,22,142,2625,5069,294,2674,4170
MURES,6094,1036,2194,1458,546,69,623,168
NEAMT,7500,902,1157,2314,1003,79,1794,251
OLT,8318,1841,712,2758,1493,62,1353,99
PRAHOVA,6656,568,1151,1815,1303,107,1307,405
SALAJ,4226,311,1153,1185,858,60,515,144
SATU M.,3834,578,1427,1100,342,27,276,84
SIBIU,3688,394,1073,859,588,51,472,251
SUCEAVA,10389,565,2306,2904,1960,169,2162,323
TELEORMAN,9304,434,1103,5118,1151,35,1373,90
TIMIS,2449,338,139,479,589,41,501,362
TULCEA,2800,0,439,1279,602,0,422,58
VALCEA,4591,125,502,1393,1234,139,881,317
VASLUI,9600,405,1841,3736,752,53,2772,41
VRANCEA,4853,311,1279,1817,724,63,538,121
Total general,250882,24407,46526,77386,45903,3153,39934,13573
