JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,6332,653,1057,1656,1464,91,1036,375
ARAD,4486,743,531,1065,1055,69,594,429
ARGES,9875,534,1956,2846,2059,126,1817,537
BACAU,12516,1133,1716,3386,3159,125,2657,340
BIHOR,6280,324,1012,1761,1502,98,992,591
BISTRITA,4613,172,571,1280,1389,82,862,257
BOTOSANI,3888,183,1119,972,702,70,691,151
BRAILA,5265,805,1270,1780,571,64,599,176
BRASOV,6551,1096,1438,1579,1019,89,772,558
BUZAU,10295,937,2363,3417,1513,117,1757,191
CALARASI,3252,390,821,1096,394,52,406,93
CARAS,3760,449,525,877,1072,104,502,231
CLUJ,6129,694,812,1374,1383,174,1005,687
CONSTANTA,8170,937,1186,1946,2204,103,1155,639
COVASNA,4153,521,1486,899,716,44,372,115
DAMBOVITA,5956,412,1346,1882,1184,77,785,270
DOLJ,18384,859,6344,4904,3757,265,1928,327
GALATI,11622,1267,2451,4411,1411,103,1548,431
GIURGIU,2235,238,460,792,469,20,183,73
GORJ,5108,0,585,1474,1547,103,1055,344
HARGHITA,6023,846,2008,1126,1033,84,762,164
HUNEDOARA,5743,226,613,1364,1888,135,958,559
IALOMITA,4627,342,973,1596,824,46,759,87
IASI,9676,599,1813,3076,1000,97,2581,510
ILFOV,1439,97,347,232,361,18,185,199
MARAMURES,4100,90,529,904,1300,121,769,387
MEHEDINTI,6277,102,1328,2308,1495,142,808,94
MUN. BUC.,14974,27,163,2517,5258,312,2766,3931
MURES,6703,850,2231,1499,923,75,837,288
NEAMT,9119,709,1277,2938,1941,120,1777,357
OLT,9391,848,1034,3377,2201,163,1615,153
PRAHOVA,8442,569,1188,2132,2008,190,1715,640
SALAJ,5288,419,1600,1413,893,70,671,222
SATU M.,5042,646,2049,1416,426,27,368,110
SIBIU,4893,450,1263,1119,822,85,772,382
SUCEAVA,11353,1073,1799,3305,2329,172,2196,479
TELEORMAN,9496,721,1356,4470,1570,99,1164,116
TIMIS,4180,498,441,754,1216,90,596,585
TULCEA,2841,0,704,848,740,0,457,92
VALCEA,6049,190,567,1689,1843,149,1182,429
VASLUI,10431,433,2508,4006,1735,71,1559,119
VRANCEA,6015,366,1618,2080,1024,73,685,169
Total general,290972,22448,56458,83566,61400,4315,45898,16887
