JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5194,650,761,1456,1126,55,841,305
ARAD,3211,299,670,262,1102,39,640,199
ARGES,7731,648,1788,2355,1379,100,1109,352
BACAU,10743,1670,1304,832,2710,230,3644,353
BIHOR,3652,204,600,779,1048,82,484,455
BISTRITA,3225,186,290,802,968,72,711,196
BOTOSANI,3521,177,949,920,689,70,572,144
BRAILA,4286,703,1079,1487,390,48,437,142
BRASOV,5540,1050,1239,1292,973,55,603,328
BUZAU,11343,2212,2328,3626,1433,71,1556,117
CALARASI,3246,359,832,440,586,25,953,51
CARAS,3369,545,405,370,946,56,833,214
CLUJ,4616,832,655,957,932,120,666,454
CONSTANTA,7536,972,564,1723,2192,106,1520,459
COVASNA,2819,429,945,570,536,29,238,72
DAMBOVITA,6678,879,1054,1670,1401,138,1266,270
DOLJ,17816,835,5877,4916,3767,123,1936,362
GALATI,10836,1027,1997,4190,1665,114,1446,397
GIURGIU,1683,219,263,574,441,15,122,49
GORJ,4725,292,267,865,1296,134,1539,332
HARGHITA,5120,1256,1224,931,907,81,520,201
HUNEDOARA,5183,380,410,1306,1459,118,981,529
IALOMITA,4094,320,969,1379,685,44,632,65
IASI,8242,564,1539,2605,957,81,2159,337
ILFOV,817,101,221,146,207,7,65,70
MARAMURES,5611,121,1934,837,1527,145,673,374
MEHEDINTI,6917,0,1488,3296,1126,63,825,119
MUN. BUC.,15300,25,137,2640,5220,287,2718,4273
MURES,6356,1080,2254,1384,679,65,661,233
NEAMT,7282,957,1092,2161,1035,114,1668,255
OLT,8666,1760,741,2746,1821,68,1453,77
PRAHOVA,7185,638,1278,1851,1525,111,1351,431
SALAJ,4274,295,1077,710,1037,57,852,246
SATU M.,3478,407,1700,859,237,14,177,84
SIBIU,3422,368,995,806,573,38,415,227
SUCEAVA,11189,455,2220,2135,3056,183,2717,423
TELEORMAN,8988,388,1064,4707,1424,44,1318,43
TIMIS,2832,304,118,378,768,72,734,458
TULCEA,2815,0,458,933,465,0,915,44
VALCEA,4888,137,533,857,1401,160,1458,342
VASLUI,9868,398,1875,3636,937,49,2918,55
VRANCEA,5091,338,1306,822,959,76,1440,150
Total general,259388,24480,48500,67211,53585,3559,47766,14287
