JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5672,455,514,1480,1673,63,1087,400
ARAD,4558,323,320,975,1734,98,711,397
ARGES,10383,637,1785,3020,2420,158,1777,586
BACAU,10966,2112,948,3500,1141,89,1110,2066
BIHOR,5187,187,606,1077,1801,97,801,618
BISTRITA,3828,136,188,1138,1316,65,766,219
BOTOSANI,4021,193,1042,876,1038,60,647,165
BRAILA,4653,778,1077,1557,515,57,503,166
BRASOV,6362,975,1117,1395,1415,91,826,543
BUZAU,12293,2304,2335,3804,1849,66,1765,170
CALARASI,3740,343,773,1156,805,39,474,150
CARAS,3865,574,383,775,1263,74,561,235
CLUJ,6240,552,566,1383,1611,177,1256,695
CONSTANTA,6872,756,776,1249,2778,77,700,536
COVASNA,3870,521,1099,820,828,50,464,88
DAMBOVITA,6167,582,640,1903,1568,92,1012,370
DOLJ,19131,854,6167,4968,4301,379,2071,391
GALATI,11726,1105,2015,4316,1995,114,1771,410
GIURGIU,2226,245,285,712,721,16,177,70
GORJ,5073,269,211,1278,1886,184,882,363
HARGHITA,5730,1069,1236,971,1388,75,761,230
HUNEDOARA,6435,305,397,1540,2295,119,1194,585
IALOMITA,4351,270,1014,1356,949,48,637,77
IASI,9037,564,1580,2847,1108,82,2351,505
ILFOV,851,91,143,126,342,7,81,61
MARAMURES,5312,58,1209,763,2031,117,770,364
MEHEDINTI,6695,0,1326,2979,1286,89,876,139
MUN. BUC.,15290,25,144,2570,5161,302,2839,4249
MURES,6067,719,1545,1227,1340,75,848,313
NEAMT,7944,865,1018,2240,1544,100,1870,307
OLT,9288,1936,736,2773,2191,149,1461,42
PRAHOVA,8889,547,1072,2167,2418,140,1804,741
SALAJ,5075,326,1131,1228,1520,63,609,198
SATU M.,4860,658,1691,1361,588,23,388,151
SIBIU,5199,372,970,1115,1263,94,949,436
SUCEAVA,11563,437,1569,3071,3489,147,2269,581
TELEORMAN,8836,402,974,4618,1330,95,1354,63
TIMIS,3720,198,106,759,1396,99,641,521
TULCEA,2792,0,433,1107,757,0,416,79
VALCEA,5916,125,489,1428,2215,158,1119,382
VASLUI,7798,240,1257,2815,1112,62,2228,84
VRANCEA,5458,303,1255,1851,1215,72,592,170
Total general,283939,23411,44142,78294,69596,4162,45418,18916
