JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4877,664,730,1535,885,39,790,234
ARAD,2563,363,780,583,565,29,81,162
ARGES,7357,709,1826,2414,965,83,1058,302
BACAU,11434,1910,2602,4177,1486,127,819,313
BIHOR,3095,424,595,604,697,68,328,379
BISTRITA,3450,294,333,1185,901,66,474,197
BOTOSANI,3813,195,1154,1142,593,46,560,123
BRAILA,4754,731,1184,1789,374,41,486,149
BRASOV,5471,1351,1262,1399,838,47,313,261
BUZAU,11615,2476,2528,3995,901,54,1557,104
CALARASI,3455,422,944,1235,588,24,186,56
CARAS,3200,715,369,744,825,52,314,181
CLUJ,4556,961,670,1054,701,97,656,417
CONSTANTA,6195,850,1077,1827,1310,70,631,430
COVASNA,2678,496,1105,580,233,31,179,54
DAMBOVITA,6679,728,1230,2015,1612,46,835,213
DOLJ,18905,3125,6452,5300,2971,103,615,339
GALATI,10676,1475,2158,4527,1188,113,916,299
GIURGIU,1794,268,301,622,387,15,136,65
GORJ,5117,465,338,1563,1640,139,659,313
HARGHITA,4997,1261,1303,959,731,49,509,185
HUNEDOARA,5798,514,508,1568,1428,118,1132,530
IALOMITA,4736,527,1142,1661,870,45,439,52
IASI,8657,721,1820,3096,603,62,2058,297
ILFOV,897,134,310,157,149,6,68,73
MARAMURES,6161,194,2639,1497,923,99,509,300
MEHEDINTI,7154,0,1563,3498,1104,38,857,94
MUN. BUC.,15575,27,131,2648,5296,300,2784,4389
MURES,6184,1141,2229,1531,497,61,579,146
NEAMT,7308,1012,1184,2343,1298,53,1239,179
OLT,8802,2410,855,3078,2097,70,262,30
PRAHOVA,6605,626,1525,1629,1232,124,1076,393
SALAJ,4292,634,1311,1129,742,43,281,152
SATU M.,3597,468,1708,951,193,12,197,68
SIBIU,3423,552,956,835,561,37,272,210
SUCEAVA,10635,1087,1944,3041,1706,186,2340,331
TELEORMAN,10145,610,1241,5642,1683,37,881,51
TIMIS,2421,382,219,476,496,36,455,357
TULCEA,2667,0,543,1394,563,0,133,34
VALCEA,4595,247,497,1305,1029,100,1110,307
VASLUI,10480,603,2066,4041,1670,59,1986,55
VRANCEA,5096,597,1462,1818,759,45,297,118
Total general,261909,32369,54794,82587,45290,2870,31057,12942
