JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5294,715,765,1658,970,53,882,251
ARAD,2797,453,842,597,438,40,259,168
ARGES,7992,767,2002,2600,1074,92,1133,324
BACAU,12133,1964,3061,4087,1321,67,1392,241
BIHOR,3077,551,436,570,650,70,412,388
BISTRITA,3855,309,388,1325,833,85,694,221
BOTOSANI,4166,183,1237,1243,554,66,761,122
BRAILA,5167,807,1261,1931,426,52,553,137
BRASOV,5764,1435,1295,1487,619,61,588,279
BUZAU,11895,2524,2611,4036,859,66,1688,111
CALARASI,3707,462,999,1316,455,33,379,63
CARAS,3512,771,403,799,782,70,495,192
CLUJ,4715,972,663,1103,735,93,727,422
CONSTANTA,7759,928,1267,2455,1438,81,1122,468
COVASNA,2961,525,1183,656,286,32,222,57
DAMBOVITA,7046,780,1393,2060,1646,59,891,217
DOLJ,19758,3228,6678,5515,1590,131,2223,393
GALATI,11368,1516,2319,4827,1290,129,983,304
GIURGIU,1860,262,295,633,432,21,152,65
GORJ,5457,503,347,1645,1419,171,1075,297
HARGHITA,5428,1333,1351,1061,831,62,588,202
HUNEDOARA,6227,647,475,1778,1547,118,1132,530
IALOMITA,5013,563,1190,1774,484,57,892,53
IASI,8690,707,1824,3114,594,62,2114,275
ILFOV,1032,149,334,213,176,5,72,83
MARAMURES,6356,149,2852,1350,920,106,672,307
MEHEDINTI,7509,0,1619,3650,1184,52,890,114
MUN. BUC.,15650,41,137,2672,5326,296,2795,4383
MURES,6559,1304,2258,1647,468,73,660,149
NEAMT,7730,1026,1213,2392,844,76,1974,205
OLT,9349,2495,883,3288,1080,82,1485,36
PRAHOVA,7176,585,1750,1752,1296,145,1234,414
SALAJ,4679,638,1410,1179,874,64,357,157
SATU M.,3811,481,1754,1017,240,10,240,69
SIBIU,3579,560,987,888,460,35,430,219
SUCEAVA,11325,1170,2497,3435,1533,219,2136,335
TELEORMAN,10965,601,1254,5819,1819,61,1361,50
TIMIS,2573,418,230,497,507,38,495,388
TULCEA,2965,0,602,1235,580,0,518,30
VALCEA,4726,202,539,1333,1191,159,964,338
VASLUI,11149,627,2199,4260,728,59,3206,70
VRANCEA,5373,655,1547,1886,531,67,566,121
Total general,278147,34006,58350,86783,41030,3318,41412,13248
