JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5486,689,747,1592,1171,58,927,302
ARAD,3022,451,916,645,503,42,268,197
ARGES,8509,805,2132,2734,1179,80,1238,341
BACAU,12506,2397,1020,4028,3229,87,1440,305
BIHOR,3589,838,576,563,695,69,454,394
BISTRITA,4097,239,344,1382,1059,98,758,217
BOTOSANI,4402,194,1255,1288,615,89,834,127
BRAILA,5151,717,1279,1891,474,63,587,140
BRASOV,5948,1433,1332,1574,667,55,608,279
BUZAU,12414,2603,2630,4136,965,76,1869,135
CALARASI,3894,470,1020,1284,548,40,453,79
CARAS,3540,758,389,819,797,78,505,194
CLUJ,4855,896,654,1153,876,108,721,447
CONSTANTA,8121,1067,933,2526,1961,89,1069,476
COVASNA,3150,563,1222,669,329,43,255,69
DAMBOVITA,7329,793,1415,2082,1786,65,960,228
DOLJ,20097,925,6680,5611,4078,134,2268,401
GALATI,11698,1543,2314,4832,860,163,1666,320
GIURGIU,1964,275,323,650,452,31,161,72
GORJ,5900,441,352,1729,1693,160,1210,315
HARGHITA,5709,1352,1371,1087,913,66,686,234
HUNEDOARA,6423,502,497,1544,1870,128,1336,546
IALOMITA,5248,553,1201,1864,527,56,988,59
IASI,8961,706,1767,3068,833,68,2234,285
ILFOV,1196,181,305,296,241,10,78,85
MARAMURES,6377,161,2739,1418,964,132,630,333
MEHEDINTI,7770,0,1654,3732,1291,62,910,121
MUN. BUC.,15679,37,135,2684,5234,294,2800,4495
MURES,6988,1202,2538,1678,614,75,705,176
NEAMT,8450,988,1297,2672,1047,94,2113,239
OLT,10105,2309,883,3401,1719,103,1642,48
PRAHOVA,7465,568,1841,1700,1446,166,1302,442
SALAJ,4740,642,1438,1203,692,70,545,150
SATU M.,3905,471,1727,1046,275,10,297,79
SIBIU,3598,510,989,841,552,53,429,224
SUCEAVA,11979,1256,2517,3593,1684,223,2345,361
TELEORMAN,10899,500,1470,5830,1577,72,1394,56
TIMIS,2867,488,275,501,510,45,568,480
TULCEA,3234,0,574,1717,534,0,382,27
VALCEA,5029,239,639,1439,1188,171,1031,322
VASLUI,11653,458,2229,4451,1051,68,3318,78
VRANCEA,5635,507,1540,820,731,213,1665,159
Total ,289582,31727,57159,87773,49430,3807,45649,14037
